lambda	koszt	ryzyko_GINI
15000.00	871501.7959	58.1001
15100.00	871502.1357	57.7154
15200.00	871502.4837	57.3357
15300.00	871502.8341	56.9610
15400.00	871503.1877	56.5911
15500.00	871503.5464	56.2260
15600.00	871503.9137	55.8656
15700.00	871504.2964	55.5098
15800.00	871504.6906	55.1585
15900.00	871505.0934	54.8116
16000.00	871505.5121	54.4691
16100.00	871505.9557	54.1308
16200.00	871506.4113	53.7967
16300.00	871506.9008	53.4667
16400.00	871507.4111	53.1407
16500.00	871507.9761	52.8187
16600.00	871508.6029	52.5005
16700.00	871509.2837	52.1862
16800.00	871510.0645	51.8756
16900.00	871511.2342	51.5687
17000.00	873600.0000	0.0000
17100.00	873600.0000	0.0000
17200.00	873600.0000	0.0000
17300.00	873600.0000	0.0000
17400.00	873600.0000	0.0000
17500.00	873600.0000	0.0000
17600.00	873600.0000	0.0000
17700.00	873600.0000	0.0000
17800.00	873600.0000	0.0000
17900.00	873600.0000	0.0000
18000.00	873600.0000	0.0000
18100.00	873600.0000	0.0000
18200.00	873600.0000	0.0000
18300.00	873600.0000	0.0000
18400.00	873600.0000	0.0000
18500.00	873600.0000	0.0000
18600.00	873600.0000	0.0000
18700.00	873600.0000	0.0000
18800.00	873600.0000	0.0000
18900.00	873600.0000	0.0000
19000.00	873600.0000	0.0000
19100.00	873600.0000	0.0000
19200.00	873600.0000	0.0000
19300.00	873600.0000	0.0000
19400.00	873600.0000	0.0000
19500.00	873600.0000	0.0000
19600.00	873600.0000	0.0000
19700.00	873600.0000	0.0000
19800.00	873600.0000	0.0000
19900.00	873600.0000	0.0000
20000.00	873600.0000	0.0000
20100.00	873600.0000	0.0000
20200.00	873600.0000	0.0000
20300.00	873600.0000	0.0000
20400.00	873600.0000	0.0000
20500.00	873600.0000	0.0000
20600.00	873600.0000	0.0000
