lambda	koszt	ryzyko_GINI
0.00	818416.4815	3484.7741
100.00	818416.4815	3484.7741
200.00	818416.4815	3484.7741
300.00	818807.7272	2729.3591
400.00	819224.2893	2048.0607
500.00	819453.4816	1638.9070
600.00	819689.1023	1366.1485
700.00	821471.2729	1173.5304
800.00	821934.5996	1027.4182
900.00	822471.9316	913.8577
1000.00	825362.7649	825.3628
1100.00	825516.6732	750.4697
1200.00	826372.9558	688.6441
1300.00	826959.5443	636.1227
1400.00	827153.7880	590.8241
1500.00	827336.9859	551.5580
1600.00	828111.6314	517.5698
1700.00	828671.5665	487.4539
1800.00	828853.5715	460.4742
1900.00	829001.7412	436.3167
2000.00	829028.6223	414.5143
2100.00	829570.3438	395.0335
2200.00	829730.1210	377.1501
2300.00	829747.8604	360.7599
2400.00	829770.6271	345.7378
2500.00	829921.5001	331.9686
2600.00	829935.2527	319.2059
2700.00	829952.1283	307.3897
2800.00	834979.2253	298.2069
2900.00	834993.4926	287.9288
3000.00	835026.5830	278.7763
3100.00	838032.2710	270.3330
3200.00	838048.0376	261.8900
3300.00	841068.8126	254.8693
3400.00	841079.1933	247.3762
3500.00	841095.7708	240.3131
3600.00	844112.0420	234.4756
3700.00	844120.5072	228.1407
3800.00	844131.5373	222.1399
3900.00	846177.2090	216.9685
4000.00	846181.5851	211.5454
4100.00	846186.0535	206.3868
4200.00	846190.6394	201.4740
4300.00	846195.3195	196.7896
4400.00	846200.1982	192.3182
4500.00	846205.6683	188.0457
4600.00	846212.1333	183.9592
4700.00	846222.8788	180.0474
4800.00	853237.4305	177.7578
4900.00	853241.1095	174.1308
5000.00	853244.9762	170.6490
5100.00	853249.2740	167.3038
5200.00	853254.2070	164.0873
5300.00	853260.8072	160.9926
5400.00	854824.2244	158.3008
5500.00	854830.7905	155.4238
5600.00	856286.2427	152.9083
5700.00	856289.8546	150.2263
5800.00	856294.1891	147.6369
5900.00	856301.1457	145.1358
6000.00	860219.1472	143.3699
6100.00	860221.0655	141.0198
6200.00	860223.0062	138.7456
6300.00	860224.9848	136.5436
6400.00	860227.0014	134.4105
6500.00	860229.0529	132.3429
6600.00	860231.1661	130.3381
6700.00	860233.4387	128.3931
6800.00	860235.9343	126.5053
6900.00	860238.9372	124.6723
7000.00	860242.7335	122.8918
7100.00	860251.0773	121.5462
7200.00	863649.0821	119.9513
7300.00	865401.6179	118.5482
7400.00	865402.9500	116.9463
7500.00	865404.3107	115.3872
7600.00	865405.7181	113.8692
7700.00	865407.1551	112.3905
7800.00	865408.6706	110.9498
7900.00	865410.2793	109.5456
8000.00	865412.0256	108.1765
8100.00	865413.9435	106.8412
8200.00	865416.1406	105.5386
8300.00	865418.8084	104.2673
8400.00	865423.0639	103.0266
8500.00	866884.9096	101.9865
8600.00	866887.5087	100.8009
8700.00	866893.5387	99.6429
8800.00	868444.1052	98.6868
8900.00	868444.8474	97.5781
9000.00	868445.5860	96.4940
9100.00	868446.3221	95.4337
9200.00	868447.0541	94.3964
9300.00	868447.7810	93.3815
9400.00	868448.5125	92.3881
9500.00	868449.2423	91.4157
9600.00	868449.9779	90.4635
9700.00	868450.7144	89.5310
9800.00	868451.4535	88.6175
9900.00	868452.2017	87.7224
10000.00	868452.9598	86.8453
10100.00	868453.7422	85.9855
10200.00	868454.5357	85.1426
10300.00	868455.3429	84.3161
10400.00	868456.1815	83.5054
10500.00	868457.0673	82.7102
10600.00	868457.9875	81.9300
10700.00	868458.9762	81.1644
10800.00	868460.0275	80.4130
10900.00	868461.1753	79.6753
11000.00	868462.5027	78.9511
11100.00	868464.0151	78.2400
11200.00	868466.0072	77.5416
11300.00	868955.7179	76.8987
11400.00	868956.1932	76.2242
11500.00	868956.6628	75.5614
11600.00	868957.1290	74.9101
11700.00	868957.5924	74.2699
11800.00	868958.0589	73.6405
11900.00	868958.5291	73.0217
12000.00	868958.9991	72.4132
12100.00	868959.4706	71.8148
12200.00	868959.9413	71.2262
12300.00	868960.4177	70.6472
12400.00	868960.8979	70.0775
12500.00	868961.3773	69.5169
12600.00	868961.8652	68.9652
12700.00	868962.3561	68.4222
12800.00	868962.8433	67.8877
12900.00	868963.3478	67.3615
13000.00	868963.8550	66.8434
13100.00	868964.3603	66.3332
13200.00	868964.8668	65.8307
13300.00	868965.3777	65.3357
13400.00	868965.8960	64.8482
13500.00	868966.4301	64.3679
13600.00	868966.9852	63.8946
13700.00	868967.5640	63.4283
13800.00	868968.1651	62.9687
13900.00	868968.7929	62.5157
14000.00	868969.4543	62.0692
14100.00	868970.1555	61.6291
14200.00	868970.9397	61.1951
14300.00	868971.8060	60.7673
14400.00	868972.8828	60.3453
14500.00	868974.8829	59.9293
14600.00	871500.4727	59.6918
14700.00	871500.7995	59.2858
14800.00	871501.1280	58.8852
14900.00	871501.4607	58.4900
15000.00	871501.7959	58.1001
15100.00	871502.1357	57.7154
15200.00	871502.4837	57.3357
15300.00	871502.8341	56.9610
15400.00	871503.1877	56.5911
15500.00	871503.5464	56.2260
15600.00	871503.9137	55.8656
15700.00	871504.2964	55.5098
15800.00	871504.6906	55.1585
15900.00	871505.0934	54.8116
16000.00	871505.5121	54.4691
16100.00	871505.9557	54.1308
16200.00	871506.4113	53.7967
16300.00	871506.9008	53.4667
16400.00	871507.4111	53.1407
16500.00	871507.9761	52.8187
16600.00	871508.6029	52.5005
16700.00	871509.2837	52.1862
16800.00	871510.0645	51.8756
16900.00	871511.2342	51.5687
17000.00	873600.0000	0.0000
17100.00	873600.0000	0.0000
17200.00	873600.0000	0.0000
17300.00	873600.0000	0.0000
17400.00	873600.0000	0.0000
17500.00	873600.0000	0.0000
